,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Nikola Mirotic,26.0,9,15,5,8,0,0,2,5,2,2,0,0,3,23,spain,2016-08-17,france,2016081731,Quarter-Finals,W
1,Sergio Llull,25.0,3,6,1,3,3,4,1,4,2,1,0,0,3,10,spain,2016-08-17,france,2016081731,Quarter-Finals,W
2,Rudy Fernandez,24.0,2,7,2,7,0,0,1,1,2,1,0,1,1,6,spain,2016-08-17,france,2016081731,Quarter-Finals,W
3,Pau Gasol,23.0,2,7,0,1,1,3,1,8,3,0,3,1,1,5,spain,2016-08-17,france,2016081731,Quarter-Finals,W
4,Ricky Rubio,18.0,2,2,1,1,1,1,0,2,5,1,0,0,3,6,spain,2016-08-17,france,2016081731,Quarter-Finals,W
5,Willy Hernangomez,17.0,8,11,0,0,0,1,0,5,0,1,0,3,2,16,spain,2016-08-17,france,2016081731,Quarter-Finals,W
6,Sergio Rodriguez,16.0,3,5,0,2,0,0,0,1,4,1,0,0,3,6,spain,2016-08-17,france,2016081731,Quarter-Finals,W
7,Victor Claver,16.0,0,1,0,0,2,2,0,2,2,1,0,0,3,2,spain,2016-08-17,france,2016081731,Quarter-Finals,W
8,Juan Carlos Navarro,15.0,2,5,0,3,0,0,0,0,5,0,0,1,1,4,spain,2016-08-17,france,2016081731,Quarter-Finals,W
9,Felipe Reyes,11.0,1,2,0,0,5,5,0,2,0,0,0,3,1,7,spain,2016-08-17,france,2016081731,Quarter-Finals,W
10,Jose Calderon,6.0,1,3,0,2,0,0,0,0,0,0,0,1,0,2,spain,2016-08-17,france,2016081731,Quarter-Finals,W
11,Alex Abrines,3.0,2,3,1,1,0,0,1,1,0,0,0,0,0,5,spain,2016-08-17,france,2016081731,Quarter-Finals,W
12,Totals,,35,67,10,28,12,16,6,31,25,8,3,10,21,92,spain,2016-08-17,france,2016081731,Quarter-Finals,W
0,Nando De Colo,29.0,5,9,1,2,2,2,1,2,2,0,1,2,3,13,france,2016-08-17,spain,2016081731,Quarter-Finals,L
1,Boris Diaw,28.0,3,7,1,2,1,2,0,2,5,0,0,4,2,8,france,2016-08-17,spain,2016081731,Quarter-Finals,L
2,Tony Parker,25.0,4,9,2,3,4,4,0,1,4,1,0,2,3,14,france,2016-08-17,spain,2016081731,Quarter-Finals,L
3,Joffrey Lauvergne,22.0,6,12,0,0,0,0,2,7,2,1,0,0,3,12,france,2016-08-17,spain,2016081731,Quarter-Finals,L
4,Rudy Gobert,18.0,2,6,0,0,3,5,5,12,0,1,1,1,1,7,france,2016-08-17,spain,2016081731,Quarter-Finals,L
5,Thomas Heurtel,18.0,2,5,1,1,0,0,0,2,2,0,0,4,2,5,france,2016-08-17,spain,2016081731,Quarter-Finals,L
6,Nicolas Batum,18.0,0,2,0,2,0,0,0,0,1,2,0,0,0,0,france,2016-08-17,spain,2016081731,Quarter-Finals,L
7,Mickael Gelabale,13.0,1,6,0,2,3,3,2,4,1,0,0,0,2,5,france,2016-08-17,spain,2016081731,Quarter-Finals,L
8,Kim Tillie,9.0,1,2,1,1,0,0,0,2,1,0,0,1,2,3,france,2016-08-17,spain,2016081731,Quarter-Finals,L
9,Antoine Diot,9.0,0,2,0,1,0,0,0,2,3,1,0,1,0,0,france,2016-08-17,spain,2016081731,Quarter-Finals,L
10,Charles Kahudi,8.0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,france,2016-08-17,spain,2016081731,Quarter-Finals,L
11,Florent Pietrus,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,france,2016-08-17,spain,2016081731,Quarter-Finals,L
12,Totals,,24,62,6,14,13,16,10,35,21,6,2,15,21,67,france,2016-08-17,spain,2016081731,Quarter-Finals,L
