,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Anton Ponkrashov,38.0,6,8,2,3,0,0,0,1,11,1,0,2,1,14,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
1,Andrei Kirilenko,36.0,2,8,0,3,4,4,4,8,1,1,0,2,3,8,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
2,Vitaly Fridzon,31.0,9,15,2,4,4,4,1,2,3,0,0,0,3,24,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
3,Timofey Mozgov,27.0,6,10,0,0,0,0,1,9,0,0,2,0,4,12,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
4,Viktor Khryapa,22.0,4,8,4,5,0,0,1,5,1,1,1,3,3,12,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
5,Sergei Monia,15.0,1,4,0,3,1,1,0,3,2,0,0,0,3,3,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
6,Sasha Kaun,13.0,0,4,0,0,1,2,0,0,1,0,0,1,1,1,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
7,Alexey Shved,7.0,0,3,0,3,0,0,0,1,0,1,0,2,2,0,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
8,Semen Antonov,7.0,1,2,1,2,0,0,0,0,0,0,1,0,0,3,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
9,Evgeny Voronov,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
10,Totals,,29,62,9,23,10,11,7,29,19,4,4,10,20,77,russia,2012-08-04,spain,2012080423,Group B,201223,mens-olympics
0,Marc Gasol,32.0,4,10,0,0,2,2,1,9,1,0,2,4,3,10,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
1,Rudy Fernandez,31.0,3,8,1,4,3,4,2,6,2,2,0,0,0,10,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
2,Pau Gasol,27.0,8,13,0,1,4,5,1,5,0,0,2,2,2,20,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
3,Jose Calderon,24.0,1,3,0,2,0,0,0,0,3,1,0,0,2,2,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
4,Juan Carlos Navarro,23.0,3,11,1,5,2,2,1,2,1,1,0,1,2,9,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
5,Sergio Rodriguez,16.0,3,5,0,0,2,2,0,0,3,1,0,1,2,8,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
6,Sergio Llull,13.0,2,7,0,2,2,2,0,0,1,0,0,0,2,6,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
7,Fernando San Emeterio,12.0,1,1,1,1,0,0,0,1,1,0,0,0,2,3,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
8,Felipe Reyes,12.0,1,3,0,0,2,2,0,1,0,0,0,0,3,4,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
9,Serge Ibaka,9.0,1,2,0,0,0,0,1,3,0,0,0,0,0,2,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
10,Totals,,27,63,3,15,17,19,6,27,12,5,4,8,18,74,spain,2012-08-04,russia,2012080423,Group B,201223,mens-olympics
