,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Pau Gasol,35.0,13,17,0,1,3,5,5,8,2,1,3,4,0,29,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
1,Rudy Fernandez,35.0,8,16,2,5,3,5,4,8,6,2,1,4,3,21,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
2,Jose Calderon,23.0,1,6,0,2,0,0,2,6,1,1,0,2,1,2,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
3,Ricky Rubio,21.0,0,4,0,1,1,2,2,4,4,5,0,4,4,1,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
4,Marc Gasol,20.0,3,4,0,0,2,3,3,5,1,0,0,1,2,8,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
5,Jorge Garbajosa,18.0,0,4,0,3,0,0,1,3,2,0,0,1,1,0,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
6,Felipe Reyes,17.0,5,9,0,0,0,0,2,6,0,1,0,1,0,10,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
7,Juan Carlos Navarro,16.0,3,9,2,4,0,0,0,0,0,1,0,3,1,8,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
8,Alex Mumbru,16.0,1,3,0,0,0,0,0,0,0,0,0,1,0,2,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
9,Carlos Jimenez,12.0,1,1,1,1,1,2,0,1,0,0,0,1,1,4,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
10,Berni Rodriguez,7.0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
11,Raul Lopez,6.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
12,Totals,,35,74,5,17,10,17,20,44,16,11,4,22,15,85,spain,2008-08-12,china,200808128,Group B,20088,mens-olympics
0,Yi Jianlian,38.0,2,4,0,1,0,0,2,9,0,3,0,0,2,4,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
1,Zhu Fangyu,35.0,5,10,5,8,0,0,0,2,0,3,0,1,2,15,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
2,Wei Liu,34.0,7,12,4,7,1,2,0,1,2,0,0,5,2,19,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
3,Yao Ming,30.0,4,12,0,0,3,4,4,9,3,3,1,4,5,11,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
4,Sun Yue,25.0,1,4,0,3,0,0,0,0,3,1,1,3,4,2,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
5,Wang Zhizhi,22.0,6,11,0,4,3,3,1,3,1,1,0,1,2,15,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
6,Wang Shipeng,17.0,1,5,0,1,1,2,3,5,2,0,0,1,2,3,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
7,Chen Jianghua,14.0,0,3,0,1,3,4,2,3,2,1,1,4,1,3,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
8,Li Nan,10.0,1,3,1,3,0,0,0,0,0,1,0,1,2,3,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
9,Totals,,27,64,10,28,11,15,12,32,13,13,3,20,22,75,china,2008-08-12,spain,200808128,Group B,20088,mens-olympics
